Rooms,Distance,Postcode,Bedroom,Bathroom,Latitude,Longtitude,Propertycount,Price,car_low,car_mid,car_high,Type_h,Type_t,Type_u,YearBuilt_bin_mod,YearBuilt_bin_new,YearBuilt_bin_new_mod,YearBuilt_bin_old,Landsize_bin_huge,Landsize_bin_large,Landsize_bin_medium,Landsize_bin_small,Landsize_bin_tiny,Landsize_bin_xlarge,BuildingArea_bin_0-100,BuildingArea_bin_100-200,BuildingArea_bin_200-300,BuildingArea_bin_300-400,BuildingArea_bin_400-500,BuildingArea_bin_500+,Year,Month,Day,Suburb_ID,UnitNumber,CouncilArea_Banyule City Council,CouncilArea_Bayside City Council,CouncilArea_Boroondara City Council,CouncilArea_Brimbank City Council,CouncilArea_Cardinia Shire Council,CouncilArea_Casey City Council,CouncilArea_Darebin City Council,CouncilArea_Frankston City Council,CouncilArea_Glen Eira City Council,CouncilArea_Greater Dandenong City Council,CouncilArea_Hobsons Bay City Council,CouncilArea_Hume City Council,CouncilArea_Kingston City Council,CouncilArea_Knox City Council,CouncilArea_Macedon Ranges Shire Council,CouncilArea_Manningham City Council,CouncilArea_Maribyrnong City Council,CouncilArea_Maroondah City Council,CouncilArea_Melbourne City Council,CouncilArea_Melton City Council,CouncilArea_Mitchell Shire Council,CouncilArea_Monash City Council,CouncilArea_Moonee Valley City Council,CouncilArea_Moorabool Shire Council,CouncilArea_Moreland City Council,CouncilArea_Nillumbik Shire Council,CouncilArea_Port Phillip City Council,CouncilArea_Stonnington City Council,CouncilArea_Whitehorse City Council,CouncilArea_Whittlesea City Council,CouncilArea_Wyndham City Council,CouncilArea_Yarra City Council,CouncilArea_Yarra Ranges Shire Council,Method_PI,Method_S,Method_SA,Method_SP,Method_VB,Regionname_Eastern Metropolitan,Regionname_Eastern Victoria,Regionname_Northern Metropolitan,Regionname_Northern Victoria,Regionname_South-Eastern Metropolitan,Regionname_Southern Metropolitan,Regionname_Western Metropolitan,Regionname_Western Victoria,ParkingArea_Attached Garage,ParkingArea_Carport,ParkingArea_Detached Garage,ParkingArea_Indoor,ParkingArea_Outdoor Stall,ParkingArea_Parkade,ParkingArea_Parking Pad,ParkingArea_Underground,Direction_East,Direction_North,Direction_South,Direction_West,Rooms^2,Rooms Bedroom,Rooms Bathroom,Rooms Distance,Rooms Propertycount,Bedroom^2,Bedroom Bathroom,Bedroom Distance,Bedroom Propertycount,Bathroom^2,Bathroom Distance,Bathroom Propertycount,Distance^2,Distance Propertycount,Propertycount^2
2,10.8,3019.0,2.0,1.0,-37.7839,144.8524,3589.0,645000.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2016,9,3,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4.0,4.0,2.0,21.6,7178.0,4.0,2.0,21.6,7178.0,1.0,10.8,3589.0,116.64,38761.2,12880921.0
3,8.0,3040.0,3.0,2.0,-37.7585,144.9317,9264.0,1425000.0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,9.0,9.0,6.0,24.0,27792.0,9.0,6.0,24.0,27792.0,4.0,16.0,18528.0,64.0,74112.0,85821696.0
2,8.0,3040.0,2.0,1.0,-37.7418,144.8977,9264.0,660000.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2016,9,3,38,1/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.0,4.0,2.0,16.0,18528.0,4.0,2.0,16.0,18528.0,1.0,8.0,9264.0,64.0,74112.0,85821696.0
2,8.0,3040.0,2.0,1.0,-37.7575,144.9298,9264.0,550000.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2016,9,3,38,3/85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0,4.0,2.0,16.0,18528.0,4.0,2.0,16.0,18528.0,1.0,8.0,9264.0,64.0,74112.0,85821696.0
2,9.4,3041.0,2.0,1.0,-37.7428,144.9086,1308.0,396000.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2016,9,3,39,2/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,4.0,4.0,2.0,18.8,2616.0,4.0,2.0,18.8,2616.0,1.0,9.4,1308.0,88.36000000000001,12295.2,1710864.0
3,6.4,3011.0,3.0,1.0,-37.7955,144.9063,7570.0,585000.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2016,9,3,44,4/33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.0,9.0,3.0,19.200000000000003,22710.0,9.0,3.0,19.200000000000003,22710.0,1.0,6.4,7570.0,40.96000000000001,48448.0,57304900.0
1,6.4,3011.0,1.0,1.0,-37.7911,144.89,7570.0,85000.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2016,9,3,44,202/51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,6.4,7570.0,1.0,1.0,6.4,7570.0,1.0,6.4,7570.0,40.96000000000001,48448.0,57304900.0
3,13.6,3043.0,3.0,2.0,-37.709,144.8925,1071.0,631000.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,9.0,9.0,6.0,40.8,3213.0,9.0,6.0,40.8,3213.0,4.0,27.2,2142.0,184.96,14565.6,1147041.0
3,13.6,3043.0,3.0,2.0,-37.7068,144.8963,1071.0,532000.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2016,9,3,47,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9.0,9.0,6.0,40.8,3213.0,9.0,6.0,40.8,3213.0,4.0,27.2,2142.0,184.96,14565.6,1147041.0
3,12.8,3033.0,3.0,2.0,-37.7402,144.8591,5629.0,703000.0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,56,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9.0,9.0,6.0,38.400000000000006,16887.0,9.0,6.0,38.400000000000006,16887.0,4.0,25.6,11258.0,163.84000000000003,72051.2,31685641.0
3,12.8,3033.0,3.0,1.4878903760356916,-37.74197573863636,144.86582818181816,5629.0,680000.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,56,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,9.0,9.0,4.463671128107075,38.400000000000006,16887.0,9.0,4.463671128107075,38.400000000000006,16887.0,2.213817771099632,19.044996813256855,8375.334926704909,163.84000000000003,72051.2,31685641.0
3,12.8,3033.0,3.0,1.0,-37.7441,144.8503,5629.0,650000.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,56,121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.0,9.0,3.0,38.400000000000006,16887.0,9.0,3.0,38.400000000000006,16887.0,1.0,12.8,5629.0,163.84000000000003,72051.2,31685641.0
3,9.2,3012.0,3.0,1.0,-37.7832,144.8745,3873.0,670000.0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,9.0,9.0,3.0,27.6,11619.0,9.0,3.0,27.6,11619.0,1.0,9.2,3873.0,84.63999999999999,35631.6,15000129.0
3,9.2,3012.0,3.0,2.0,-37.7773,144.8725,3873.0,615000.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2016,9,3,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.0,9.0,6.0,27.6,11619.0,9.0,6.0,27.6,11619.0,4.0,18.4,7746.0,84.63999999999999,35631.6,15000129.0
3,9.2,3012.0,3.0,1.0,-37.7808,144.8678,3873.0,715000.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,60,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,9.0,3.0,27.6,11619.0,9.0,3.0,27.6,11619.0,1.0,9.2,3873.0,84.63999999999999,35631.6,15000129.0
4,9.2,3012.0,4.0,2.0,-37.7833,144.8817,3873.0,826000.0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,60,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,16.0,16.0,8.0,36.8,15492.0,16.0,8.0,36.8,15492.0,4.0,18.4,7746.0,84.63999999999999,35631.6,15000129.0
3,6.9,3039.0,3.0,2.0,-37.7672,144.9209,6232.0,670000.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2016,9,3,66,504/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,9.0,9.0,6.0,20.700000000000003,18696.0,9.0,6.0,20.700000000000003,18696.0,4.0,13.8,12464.0,47.61000000000001,43000.8,38837824.0
3,8.4,3015.0,3.0,2.0,-37.842,144.8902,5498.0,1025000.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,68,23a,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9.0,9.0,6.0,25.200000000000003,16494.0,9.0,6.0,25.200000000000003,16494.0,4.0,16.8,10996.0,70.56,46183.2,30228004.0
3,8.4,3015.0,2.0,1.0,-37.8457,144.8651,5498.0,826000.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2016,9,3,68,1/26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,9.0,6.0,3.0,25.200000000000003,16494.0,4.0,2.0,16.8,10996.0,1.0,8.4,5498.0,70.56,46183.2,30228004.0
3,11.2,3042.0,3.0,3.0,-37.742,144.8885,2291.0,830000.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2016,9,3,69,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9.0,9.0,9.0,33.599999999999994,6873.0,9.0,9.0,33.599999999999994,6873.0,9.0,33.599999999999994,6873.0,125.43999999999998,25659.199999999997,5248681.0
4,11.2,3042.0,4.0,2.058564231738035,-37.73983330097087,144.88566106796117,2291.0,1065000.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2016,9,3,69,57a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,16.0,16.0,8.23425692695214,44.8,9164.0,16.0,8.23425692695214,44.8,9164.0,4.237686696191206,23.055919395465992,4716.170654911838,125.43999999999998,25659.199999999997,5248681.0
3,11.2,3042.0,3.0,2.0,-37.7353,144.8907,2291.0,780000.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2016,9,3,69,3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,9.0,9.0,6.0,33.599999999999994,6873.0,9.0,6.0,33.599999999999994,6873.0,4.0,22.4,4582.0,125.43999999999998,25659.199999999997,5248681.0
3,11.2,3042.0,3.0,1.4878903760356916,-37.73983330097087,144.88566106796117,2291.0,950000.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,69,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9.0,9.0,4.463671128107075,33.599999999999994,6873.0,9.0,4.463671128107075,33.599999999999994,6873.0,2.213817771099632,16.664372211599744,3408.7568514977697,125.43999999999998,25659.199999999997,5248681.0
3,11.2,3042.0,3.0,1.4878903760356916,-37.73983330097087,144.88566106796117,2291.0,950000.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,69,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,9.0,4.463671128107075,33.599999999999994,6873.0,9.0,4.463671128107075,33.599999999999994,6873.0,2.213817771099632,16.664372211599744,3408.7568514977697,125.43999999999998,25659.199999999997,5248681.0
3,6.6,3011.0,3.0,1.0,-37.8094,144.8869,2417.0,1145000.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2016,9,3,82,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9.0,9.0,3.0,19.799999999999997,7251.0,9.0,3.0,19.799999999999997,7251.0,1.0,6.6,2417.0,43.559999999999995,15952.2,5841889.0
3,7.7,3015.0,3.0,1.0,-37.8272,144.8789,1223.0,1040000.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,86,73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,9.0,9.0,3.0,23.1,3669.0,9.0,3.0,23.1,3669.0,1.0,7.7,1223.0,59.290000000000006,9417.1,1495729.0
3,9.7,3041.0,3.0,2.0,-37.7356,144.9242,3284.0,905000.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,88,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,9.0,9.0,6.0,29.1,9852.0,9.0,6.0,29.1,9852.0,4.0,19.4,6568.0,94.09,31854.8,10784656.0
4,9.7,3041.0,4.0,2.058564231738035,-37.732996732673264,144.91607297029702,3284.0,1055000.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,88,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,16.0,16.0,8.23425692695214,38.8,13136.0,16.0,8.23425692695214,38.8,13136.0,4.237686696191206,19.968073047858937,6760.324937027707,94.09,31854.8,10784656.0
4,9.7,3041.0,4.0,2.058564231738035,-37.732996732673264,144.91607297029702,3284.0,1390000.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2016,9,3,88,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,16.0,16.0,8.23425692695214,38.8,13136.0,16.0,8.23425692695214,38.8,13136.0,4.237686696191206,19.968073047858937,6760.324937027707,94.09,31854.8,10784656.0
